Date,Open,High,Low,Close,Volume
8/26/1992,0.332774,0.334676,0.325284,0.332774,143671724
8/27/1992,0.336696,0.339524,0.332774,0.334676,98200296
8/28/1992,0.332774,0.340403,0.331029,0.33853,72679915
8/31/1992,0.33853,0.347843,0.336696,0.346077,143738170
9/1/1992,0.347843,0.349724,0.344295,0.349724,71550090
9/2/1992,0.349724,0.366813,0.349724,0.364774,225363525
9/3/1992,0.368635,0.370539,0.359243,0.359243,251428867
9/4/1992,0.36292,0.36292,0.351794,0.355402,75045859
9/8/1992,0.351794,0.361147,0.349724,0.359243,83074156
9/9/1992,0.361147,0.370539,0.359243,0.368635,186564590
9/10/1992,0.361147,0.372528,0.35752,0.370539,270795081
9/11/1992,0.368635,0.370539,0.35752,0.358181,213480595
9/14/1992,0.368635,0.376156,0.364774,0.372528,254778395
9/15/1992,0.370539,0.370539,0.359243,0.36292,259337460
9/16/1992,0.359243,0.36292,0.349724,0.353589,212098245
9/17/1992,0.355402,0.355402,0.341563,0.346077,204641551
9/18/1992,0.344295,0.352712,0.340403,0.349724,137198592
9/21/1992,0.351794,0.359243,0.347843,0.349724,106427900
9/22/1992,0.351794,0.351794,0.340403,0.344295,132373673
9/23/1992,0.346077,0.35752,0.342471,0.35752,147127592
9/24/1992,0.355402,0.359243,0.347843,0.347843,149121414
9/25/1992,0.347843,0.349724,0.340403,0.342471,163144269
9/28/1992,0.33853,0.33853,0.329246,0.336696,177446367
9/29/1992,0.334676,0.342471,0.331029,0.337583,186644378
9/30/1992,0.33853,0.342471,0.334676,0.339524,118736215
10/1/1992,0.336696,0.339524,0.332774,0.332774,145652216
10/2/1992,0.334676,0.336696,0.323551,0.329246,134752860
10/5/1992,0.325284,0.329246,0.312375,0.327382,314445558
10/6/1992,0.329246,0.33853,0.321657,0.336696,134633288
10/7/1992,0.33853,0.340403,0.327382,0.329246,134473739
10/8/1992,0.331029,0.332774,0.323551,0.327382,150689797
10/9/1992,0.327382,0.331029,0.323551,0.326554,69715863
10/12/1992,0.325284,0.332774,0.325284,0.331029,85014756
10/13/1992,0.336696,0.346077,0.331029,0.341563,174668306
10/14/1992,0.340403,0.347843,0.33853,0.346077,113605556
10/15/1992,0.344295,0.346077,0.340403,0.342471,89507406
10/16/1992,0.351794,0.372528,0.349724,0.368635,535648771
10/19/1992,0.368635,0.370539,0.364774,0.368635,232660719
10/20/1992,0.368635,0.376156,0.364774,0.369572,340896369
10/21/1992,0.370539,0.372528,0.361147,0.364774,135590254
10/22/1992,0.364774,0.370539,0.36292,0.366813,100247218
10/23/1992,0.370539,0.372528,0.36292,0.366813,108501474
10/26/1992,0.366813,0.387655,0.364774,0.387655,297511758
10/27/1992,0.387655,0.394801,0.383684,0.387655,251548490
10/28/1992,0.38541,0.396941,0.381959,0.393047,233312079
10/29/1992,0.393047,0.406272,0.387655,0.400497,253848004
10/30/1992,0.402694,0.402694,0.391156,0.394801,154079251
11/2/1992,0.394801,0.396941,0.38944,0.393047,201863474
11/3/1992,0.394801,0.394801,0.387655,0.391156,133809200
11/4/1992,0.391156,0.396941,0.391156,0.394801,168474330
11/5/1992,0.394801,0.413851,0.394801,0.413851,353723046
11/6/1992,0.411989,0.424999,0.411989,0.419567,313275903
11/9/1992,0.421292,0.421292,0.411989,0.415545,134021821
11/10/1992,0.413851,0.424999,0.411989,0.423104,145054059
11/11/1992,0.424999,0.438193,0.423104,0.426988,166653348
11/12/1992,0.428822,0.432752,0.424358,0.427876,127694902
11/13/1992,0.428822,0.430644,0.421292,0.423104,100579533
11/16/1992,0.423104,0.434557,0.421292,0.431855,80163259
11/17/1992,0.430644,0.432752,0.412935,0.415545,200334915
11/18/1992,0.421292,0.438193,0.417684,0.434557,361738011
11/19/1992,0.434557,0.447813,0.434557,0.438193,285469314
